"","population","householdsize","racepctblack","racePctWhite","racePctAsian","racePctHisp","agePct12t21","agePct12t29","agePct16t24","agePct65up","pctUrban","medIncome","pctWWage","pctWFarmSelf","pctWInvInc","pctWSocSec","pctWPubAsst","pctWRetire","medFamInc","perCapInc","whitePerCap","blackPerCap","indianPerCap","AsianPerCap","OtherPerCap","HispPerCap","PctPopUnderPov","PctLess9thGrade","PctNotHSGrad","PctBSorMore","PctUnemployed","PctEmploy","PctEmplManu","PctEmplProfServ","PctOccupManu","PctOccupMgmtProf","MalePctDivorce","MalePctNevMarr","FemalePctDiv","TotalPctDiv","PersPerFam","PctFam2Par","PctKids2Par","PctYoungKids2Par","PctTeen2Par","PctWorkMomYoungKids","PctWorkMom","PctIlleg","PctImmigRecent","PctImmigRec5","PctImmigRec8","PctImmigRec10","PctRecentImmig","PctRecImmig5","PctRecImmig8","PctRecImmig10","PctSpeakEnglOnly","PctNotSpeakEnglWell","PctLargHouseFam","PctLargHouseOccup","PersPerOccupHous","PersPerOwnOccHous","PersPerRentOccHous","PctPersOwnOccup","PctPersDenseHous","PctHousLess3BR","MedNumBR","PctHousOccup","PctHousOwnOcc","PctVacantBoarded","PctVacMore6Mos","MedYrHousBuilt","PctHousNoPhone","PctWOFullPlumb","MedRent","MedRentPctHousInc","MedOwnCostPctInc","MedOwnCostPctIncNoMtg","NumInShelters","NumStreet","PctForeignBorn","PctBornSameState","PctSameHouse85","PctSameCity85","PctSameState85","LandArea","PopDens","PctUsePubTrans","ViolentCrimesPerPop"
"population",1,-0.0257938198791484,0.289668863897683,0.389384788726184,0.294237357782009,0.299433317928804,0.0245565732805752,0.191020904502664,0.11902198335649,-0.140855236944772,0.416492032277838,-0.0895569242484944,0.0266716387644295,-0.161394811156989,-0.191173550041887,-0.165444315084617,0.227437922833624,-0.12737781075254,-0.0935636098764485,-0.0490496182780513,0.0202881086765327,-0.0631916257496986,-0.000517608214008001,-0.125433062188096,-0.0425626945813071,-0.106241101156979,0.181653549635279,0.0518358045981578,0.0542148965822171,0.00990945185504643,0.172062722668906,0.0121949630142867,-0.130907780132975,0.00227867994257121,-0.0363389941409797,-0.0447664911826858,0.267319675224152,0.300991846405838,0.318929808086882,0.29644429794143,0.108219502626893,-0.297182159519877,-0.307130782892117,0.26308226810233,-0.295485404510533,-0.0497033795213743,-0.114138914359232,0.376635291919516,0.255587314222288,0.223880758419796,0.261882517351308,0.288788451316751,0.345776415774701,0.345974981100586,0.343635635749881,0.344570778423236,0.280774636678022,0.311611089532719,0.277737214234541,0.197232353272779,-0.0175123261231543,0.0141208609601812,0.0812229804795715,-0.318987719794022,0.340236373343992,0.295235986561605,-0.269537539950363,0.111077973128134,-0.322813050324661,0.278142500840693,-0.17308962982554,-0.0280073314882689,0.106637547228386,0.145540180186253,0.03741858780368,0.217671910787437,0.158139657298231,-0.0765435656889652,0.680117964842935,0.602464971178387,0.283669940190556,-0.201579183536202,-0.198417173122141,0.0559911871746522,0.157854136784127,0.582472269714066,0.323100618613792,0.329536720076308,0.420073509436975
"householdsize",-0.0257938198791484,1,-0.081643103460671,0.220821590150596,0.220026075583971,0.421776600047282,0.511749368916203,0.370126051937405,0.290619083563866,-0.620214008561011,-0.0145228946050642,0.185187035741262,0.453149948343686,0.170514995757138,-0.19585535397142,-0.46228621617923,0.0930742423647715,-0.334204221315858,0.0698286993701228,-0.204505131873424,-0.157550425242094,0.0468374666336557,0.000751270664203161,-0.0682330546565179,0.00828982593004085,-0.0986855577918496,0.0560097930213369,0.125223222839219,0.125160933058737,-0.111190635612782,0.154799676811043,0.126151826206049,0.0631142617525652,-0.137303914512041,0.10213145090822,-0.121105668815284,-0.431223783444749,0.142749810955033,-0.330774800350835,-0.392422353966108,0.863915857998242,0.274257598670809,0.19220681840534,-0.207246298714571,0.274454668375112,-0.233066554018073,-0.2847538639131,0.00424964893494975,0.0341298183653844,0.0469057241943719,0.0688136657562084,0.107025826378323,0.252193850351909,0.263615906964277,0.275233028354025,0.288220829092717,0.382847851765853,0.363891667654533,0.653311030620702,0.763341305150918,0.909941349702743,0.841267711820205,0.746141871478513,0.114068880405849,0.422383145845592,-0.310710568374265,0.213229757514025,-0.26873187675427,0.170350122900497,0.0183689673618915,-0.0803750742565637,0.26551564363992,-0.0394260520704664,0.106144165027211,0.183437170166656,0.155824123078669,0.263338905600852,-0.0967168274687077,-0.129341234409427,-0.0571605773879635,0.29404523971072,-0.0621234822363037,-0.0766929739269399,0.0795128594712064,-0.00570969863538438,-0.0168310191956808,-0.0051387106089199,-0.0228756935689648,-0.0398940277513075
"racepctblack",0.289668863897683,-0.081643103460671,1,0.77910732811497,-0.0453406378939492,0.00945294975802063,0.106062050566158,0.195983784072285,0.159979494078794,0.00579556152070269,0.044615006470891,-0.355938915264924,-0.171982892358578,-0.19030514412514,-0.486168955903667,0.0429468919566015,0.39928139483496,-0.0872514324893717,-0.350034383399518,-0.259343485021954,-0.0806372375147917,-0.248604899545924,-0.0550141715509496,-0.125873813396576,-0.114437824685619,-0.163586985268274,0.454996615051686,0.292081214274344,0.335355957357732,-0.150898787330263,0.34914089678775,-0.233429957796192,-0.0603045459101855,0.0696977198272014,0.19462997938542,-0.180313823183101,0.442802326307175,0.294926318994167,0.462620853574324,0.465439502855891,0.00704394664570442,-0.663228554840264,-0.702279095871484,0.579269299293199,-0.660787122726642,0.129200527509682,0.0412458135960612,0.752766645755464,0.212624820865719,0.246348348082148,0.289679959273162,0.309550831312655,0.0350983834418105,0.0437637483359418,0.0427914694400697,0.0369585543203643,-0.0646098939142691,0.000568168939803749,0.216823695369801,0.119952517631291,-0.138273766205274,-0.203328596713516,0.108531351869135,-0.40973231119188,0.28966263914242,0.262099670980512,-0.186783649764296,0.337720069139618,-0.371067099591949,0.43224937388341,0.144592277235297,-0.0766982185354934,0.483783500615381,0.305910644732229,-0.236705024336795,0.206191732125821,-0.0584334844273725,0.178963641135858,0.332382787356458,0.265048997020572,-0.0968088109109951,0.00660219349043277,-0.129537340040345,0.0326711095094604,0.0871026666021644,0.171998728345139,0.110171844215047,0.102120180875479,0.624167908032915
"racePctWhite",0.389384788726184,0.220821590150596,0.77910732811497,1,0.29717587597519,0.498139741632071,0.187151053333013,0.300927897376317,0.200086395273581,-0.17664003681999,0.0781667557886204,-0.316704857103245,-0.0722574142111139,-0.0799924286973149,-0.597330152830541,-0.12979073827678,0.544072164174326,-0.272539290975928,-0.356029544398217,-0.328298164509448,-0.102437871510846,-0.191555866616649,-0.0477939626938006,-0.165301879199777,-0.120149796536908,-0.241275839927193,0.536839298073421,0.440434336265186,0.453154196021129,-0.212906155608931,0.479099645227186,-0.219768701749135,-0.0709566951586571,-0.0546633309962859,0.23415538928145,-0.239366782692581,0.38889559135113,0.377607704807197,0.495654295445676,0.453924524342255,0.362184229765433,-0.615083923171317,-0.681324097326243,0.555184550483534,-0.596198646752474,-0.0394611849939357,-0.187257510101635,0.766909388458466,0.344785797411969,0.379592712779635,0.446484700652854,0.506621472234977,0.429773179822922,0.450439911638904,0.457119408720314,0.461274465127326,0.402712734144401,0.479509447452536,0.606107570037341,0.52656239756323,0.190333750049513,0.0830145281865549,0.486187268727088,-0.549479787592818,0.728713490275686,0.394737897155891,-0.318181920368692,0.229304802620001,-0.47866523052488,0.416440335629428,-0.0570044661937665,0.0272982999884372,0.492057372798959,0.427512456271794,-0.106393473541664,0.358623365699646,0.185900592615208,0.000202812397105886,0.378634362454785,0.363536845313843,0.317808494752289,-0.201731920554013,-0.257569620289018,0.075849721148414,0.124775806406722,0.0706900054530162,0.343236682047266,0.160836615919692,0.701219624783154
"racePctAsian",0.294237357782009,0.220026075583971,-0.0453406378939492,0.29717587597519,1,0.441607112689615,-0.0165567701914091,0.161774756229248,0.091846196984859,-0.360911188575032,0.313494350952655,0.444865509415001,0.430199963660795,-0.0581082011288173,0.223444285819376,-0.478760029013817,-0.161914721681158,-0.234201403395066,0.44162336353523,0.383833059352376,0.405065270398375,0.359521504924394,0.150301098636269,0.0867503197385217,0.229716984538175,0.226951212747997,-0.250200366827561,-0.269764996710981,-0.332133023179102,0.387326020935415,-0.232135811783009,0.361039763420796,-0.154295609564697,0.0172375139206671,-0.368257560214488,0.349643683669646,-0.151308770137392,0.258899525816578,-0.0375174647355246,-0.100965158298206,0.205648846264891,0.210852970717809,0.200113453810743,-0.258887744062303,0.157839683995477,-0.176998513220234,-0.167848815354546,-0.0757915356732208,0.309040312938101,0.301372540955807,0.37410613742506,0.400476996870472,0.711847827287794,0.722993768218043,0.744129435839831,0.743217061869103,0.569050105892947,0.508426497542972,0.234111006135702,0.227458918845501,0.217455497809743,0.231915066873684,0.202258113672517,-0.138809836213074,0.338689443895486,0.0580987422248979,-0.105046226490966,-0.31051331860915,-0.134100152300943,-0.220603692280087,-0.476618057404307,0.129378606265227,-0.400040977736716,-0.126318083804354,0.591577497096013,0.202207342339035,0.468023363072625,-0.25043178782763,0.125013544643615,0.200374655475528,0.713504851266645,-0.494262682405249,-0.274107751875304,0.313420664057194,0.317542519002035,-0.0738161496485301,0.411615963659673,0.399362863053664,0.0108577694906435
"racePctHisp",0.299433317928804,0.421776600047282,0.00945294975802063,0.498139741632071,0.441607112689615,1,0.0679946311847842,0.206790393964598,0.0643841070289292,-0.280898817214675,0.129220155533472,-0.00192452271420965,0.126962368222291,0.0270791650568508,-0.338910014112593,-0.264538468728121,0.287592997491859,-0.283282924599979,-0.0866820048684313,-0.156244903672827,-0.0867072877926722,0.0240672731726103,0.0281546544622941,-0.105589365649375,-0.0370862880475912,-0.198866444223449,0.180027512747052,0.318987500145762,0.296204321642809,-0.214503250894207,0.307211152975846,-0.00314897494868431,-0.0930747075268633,-0.272257726672647,0.0978818916148854,-0.222507171392655,0.112422005004589,0.199902275665595,0.228557830601594,0.16881313688063,0.540617922069596,-0.103480105264194,-0.163359238814073,0.12304354763443,-0.08820593233399,-0.2608893081724,-0.357006651951753,0.240351107861687,0.182822194456515,0.185636100836093,0.241990058710691,0.328011547321116,0.674057914517989,0.710110742508143,0.724513332211252,0.746605985752595,0.86291842181798,0.873201457315607,0.68057880587322,0.665724145800248,0.457627781146251,0.377937406433462,0.613133398295828,-0.35558183947921,0.806119187193076,0.344512211570077,-0.298031271682513,0.0579734730239084,-0.293489882135853,0.122665921233516,-0.269286199528015,0.144286911146661,0.163500029291268,0.256707528495977,0.218352914617823,0.33280710044393,0.481448889574905,-0.110744948766886,0.208052661585461,0.309881884620204,0.736919563212064,-0.421624556049148,-0.278086329937052,0.127883625865045,0.124862291279074,-0.0673424609537755,0.421492734601596,0.161773897708271,0.346941994531817
"agePct12t21",0.0245565732805752,0.511749368916203,0.106062050566158,0.187151053333013,-0.0165567701914091,0.0679946311847842,1,0.823407194824005,0.898125484942838,-0.417475131863107,-0.228013705163119,-0.332318609026466,0.139083462922153,0.256264093645442,-0.287496887789468,-0.26596584931366,0.211248472420436,-0.312550464504746,-0.290789054344458,-0.452736908154731,-0.391160264499088,-0.293501543842749,-0.167590316176005,-0.276654593400241,-0.199261157532182,-0.32095119945638,0.492536951331865,0.155799585768179,0.123282952973495,-0.00873751151822965,0.268334832412332,-0.180677973506833,-0.0804664739971253,0.324020263318988,0.129957850205988,-0.125622079650017,-0.194868301003099,0.551677381950582,-0.127928654153875,-0.162316517509044,0.303038507900882,-0.131948515228844,-0.145304618208155,0.171623936301994,-0.113777289179778,-0.0190385838826843,-0.0654050270302985,0.203084060101971,0.314288421000015,0.372512902648439,0.353855235944455,0.323291141013833,0.0751941588433148,0.0535804085188655,0.0301023815199917,0.0137566634276316,-0.0123023107903326,0.00374365879651147,0.262509944480047,0.264963472070846,0.235671066462055,0.245495973917251,0.268453268088509,-0.271164679633301,0.227794368869293,0.0152810360354606,-0.0732179291154894,-0.0100084006668465,-0.261514203183807,0.158594700023987,0.0262657905817155,0.0921055090146247,0.291867832572795,0.16967745603376,-0.313780416240835,0.277316233316016,-0.17577794607135,-0.112249988584295,0.0433423045530121,0.00197753358851565,-0.107684664266922,0.0950940698329377,-0.349186138999889,0.311428245407917,0.129826782456159,0.063686104438373,-0.0782906755367324,-0.169890838650973,0.074412890322253
"agePct12t29",0.191020904502664,0.370126051937405,0.195983784072285,0.300927897376317,0.161774756229248,0.206790393964598,0.823407194824005,1,0.932998899646031,-0.527719130855851,-0.0890684721469042,-0.339685465482536,0.271946131363139,0.124119142380653,-0.370707766726956,-0.433268764427529,0.223459874349333,-0.435904956547126,-0.302877607052128,-0.431939952918062,-0.378866072256968,-0.276547350549439,-0.162767878296429,-0.337463843996243,-0.184437964233516,-0.3351351925047,0.454938109014772,0.158018560639202,0.112915307155571,-0.0219567235519935,0.230595312346793,0.0139053587699612,-0.0829005730152698,0.196261808967215,0.120115838638729,-0.173599072851064,-0.00310893225726169,0.755974854262427,0.0708293851676964,0.0303632744342284,0.233412622895072,-0.247666994759629,-0.24643350053563,0.254537194799056,-0.245819666783378,0.0695700076522428,0.00504209049754311,0.350052728015997,0.43476372983168,0.496729864916134,0.503363047988884,0.485117423440283,0.280980731950339,0.265078932118852,0.244070581657749,0.226138396929102,0.138398006178542,0.169708775750425,0.28015714120504,0.229367404500044,0.104120173829208,0.157186498218253,0.225214799995392,-0.577639730310449,0.370107077911479,0.303870569034814,-0.30014579320785,0.0180331590147634,-0.586521057950402,0.14618425638575,-0.15309015537596,0.0654061885428661,0.288462843244909,0.180037690208835,-0.202459640638053,0.27152012114591,-0.014233983668355,-0.0975967781841529,0.178265035038099,0.134859578075664,0.0708397899408349,-0.0446841628249556,-0.549849713220435,0.453024759984182,0.305507351934923,0.0429397683157578,0.137811568970864,0.00455364295359017,0.201266928275345
"agePct16t24",0.11902198335649,0.290619083563866,0.159979494078794,0.200086395273581,0.091846196984859,0.0643841070289292,0.898125484942838,0.932998899646031,1,-0.326209026920596,-0.139132348822914,-0.350896523193638,0.111805240333849,0.148171767848781,-0.234398296467866,-0.238588056610201,0.178544943158629,-0.277822722555182,-0.271954657785113,-0.372845727042239,-0.322498983137828,-0.279116239804491,-0.156371266637768,-0.291469630508467,-0.190298691266467,-0.29250947187266,0.469520607511909,0.125610404077905,0.0719795182706498,0.0690347148510892,0.200373419068518,-0.145888275321406,-0.139137694150603,0.371137267443423,0.0536860225238072,-0.0804399757129798,-0.0998159997296378,0.761452720585502,-0.0529045235686026,-0.0795035562136035,0.0730211495717158,-0.223849944546243,-0.216427753822841,0.22284766135028,-0.219925304137219,0.0468877108936817,0.0107458782870437,0.271578900379099,0.419653192666868,0.48255196380393,0.46628279969693,0.421807202505357,0.208454970813697,0.184707388840915,0.157955185950422,0.134133961899857,0.0412144641673328,0.0506795540690039,0.134519619407784,0.0886101978939122,-0.026935905960602,0.0202931334879902,0.0798944082752037,-0.473994678864254,0.21214340447266,0.249609062552932,-0.26799604161407,0.022325393389101,-0.485449443251886,0.110946489676318,-0.0735711768396283,-0.011580381641382,0.249287806438807,0.139223309220084,-0.231871539937917,0.330006927024073,-0.104624169223352,-0.0797422151527104,0.144818161641706,0.0891662004616056,-0.000934614630554819,0.00152749419591348,-0.448815274824363,0.419231469585074,0.253575964829358,0.0336713331305467,0.064185084805358,-0.0172235373812444,0.130644966923931
"agePct65up",-0.140855236944772,-0.620214008561011,0.00579556152070269,-0.17664003681999,-0.360911188575032,-0.280898817214675,-0.417475131863107,-0.527719130855851,-0.326209026920596,1,-0.0943795767114669,-0.296224888475761,-0.843605681214607,-0.195518775390865,0.0966107118979327,0.944810072611131,0.161816430669049,0.677390771923801,-0.227988104790353,-0.0144993380992915,-0.0247110267388684,-0.16257456154283,-0.0458689683118824,0.0570683273887694,-0.107766222209562,-0.0190213403677814,0.0886193386002351,0.237640934473002,0.254410048382907,-0.191514682233071,0.118951660639484,-0.611668830498593,-0.00523499070287773,0.121094103922168,0.121998831270635,-0.116416443498475,0.173140556759374,-0.219574945303876,0.0537253010674601,0.121403633928208,-0.580874878726399,-0.249907365396181,-0.224461137447286,0.227983935065662,-0.201616090527312,0.0180277415138751,0.0378269000664212,0.0127404240747228,-0.189679154604059,-0.203573016452958,-0.25307170329663,-0.280207756703104,-0.242167806828445,-0.241163372209522,-0.250989427265611,-0.251513238155367,-0.186645637570647,-0.175558497378242,-0.339705386836233,-0.385356191970046,-0.59479643721029,-0.652291636957939,-0.423049764715154,0.0609546905757472,-0.271581167383296,0.254349826856405,-0.159765399266442,0.254606567627054,0.0680305777851881,0.0420512622720613,0.278026722016205,-0.420111196624571,0.127015208397223,0.0505255055802571,-0.238151901020296,0.0611376924881482,-0.213734305410206,0.218763502505853,0.0126245822844216,-0.0371731544320937,-0.171352561389132,0.158932028025127,0.411048409249206,-0.36605763409898,-0.263212635099755,-0.133704531684627,0.0194899618602738,-0.0229707451741886,0.0709852536283091
